"['pro ana', 'ana thinspiration', 'ana', 'anorexia', 'thinspiration', 'thinspo', 'ana songs', 'ana playlist']",[]
"['ana thinspiration', 'anorexia', 'pro ana', 'ana', 'ana diet']",[]
"['Arfid', 'binge eating disorder', 'bulimia', 'anorexia', 'anor3x14', 'bul3m14', 'pro 4 me not 4 thee', 'eat1ng d1sorder', 'disordered eating', 'disordered eating thoughts', 'calories', 'i want to be a skeleton', 'skinnnny', 'weight loss', 'restrictive ana', '4n0r3xic', '4n0r3x14', 'not pr0 4n4', 'tw ed', 'ed tw', 'heavy Ed tw', 'Diagnosed eating disorder', 'bul1m14', 'bul1m1c', 'bul1mic', 'b1nge eating', 'b1ng3', 'tw b1nge', 'bingepurge', 'bing3 eating']","['-more, because it’s so fucking hard to live my life with all this shit constantly playing in my mind', 'It all fucking sucks, and everything sabotages the other things, I don’t eat any meat or vegetables because I literally cannot bring myself to put those  things inside me. So all I had was sugar, oily, high carb, processed food. And it’s all I ate and then all i ever did was eat that shit and now all I wanna do it eat one grape a month, bu I also wanna sit down and put away two boxes of Cocoa Puffs and stop caring any']"
"['anamia', 'anorexia', 'proana', 'ana', 'tw ana mention', 'ed', 'restrictive ed', 'notprojustusingthetags', 'starving', 'tw ed vent', 'restricting', 'mia', 'pr0ana', 'edtumblr', 'mealsp0', 'mealspo', 'bonespo', 'bonespr0', 'foodsp0', 'foodspo']",[]
"['anorexia', 'anamia', 'anarex', 'anorex', 'anorexik', 'anorexic', 'edthings']",[]
"['anorexia', 'anorexic', 'bulimic', 'bulimia', 'binge eating', 'binge eating disorder', 'starving', 'bulimist', 'eating disorder', 'thin']",[]
"['anorexia', '4n0r3x14', 'eatingdisorder', 'tw 3at1ng d1s0rd3r', 'eating disoder tw', '3at1ng d1s0rd3r', '4n4 diary', '4n4', 'm1a', 'pr0 4n4', 'pr0 3d', 'pr0 3d diary', 'calories', '4n4 thoughts', 'th1nsp0', 'th1n$p0', '3d thoughts', '3d diary', 'th1n', 'kpop body', 'sk1nny', 'c0ll4r b0n3s', 'b0dycheck', 'b0nesp0', 'b0nespø', '4n4 boy', 'malespr0', 'malespø', 'male 4na']",[]
"['ana thinspiration', 'ana diet', 'ana', 'pro ana', 'anorexia']",[]
"['health', 'exercise', 'eating disorder', 'fasting', 'anorexia', 'intermittent fasting']",[]
"['dca', 'disturbo alimentare', 'disturbodelcomportamentoalimentare', 'anorexia', 'anoressia', 'autolesionismo', 'bingeiting', 'bulimima', 'cibo', 'autolesionista', 'binge eating', 'vomito', 'abbuffata', 'comunità', 'depressione', 'ospedale', 'recovery', 'ricovero', 'digiuno', 'mangiare', 'health', 'mental instability', 'mental health']",[]
"['digiuno', 'dca', 'disturbo alimentare', 'disturbodelcomportamentoalimentare', 'anorexia', 'anoressia', 'autolesionismo', 'bingeiting', 'bulimima', 'cibo', 'autolesionista', 'binge eating', 'vomito', 'abbuffata', 'comunità', 'depressione', 'ospedale', 'recovery', 'ricovero']",[]
"['ed', 'tw self destructive behavior', 'tw ed rant', 'anorekix', 'anorexia', 'ana trigger', 'tw ana related', 'tw skinny', 'tw hunger', 'self h@te']",[]
"['dca', 'disturbo alimentare', 'disturbodelcomportamentoalimentare', 'anorexia', 'anoressia', 'autolesionismo', 'bingeiting', 'bulimima', 'autolesionista', 'cibo', 'binge eating', 'abbuffata', 'vomito', 'comunità', 'depressione', 'ospedale', 'recovery', 'ricovero']",[]
"['Anorexia', 'disordered eating thoughts', 'eat1ng d1sorder', 'anor3x14', 'bul3m14', 'pro 4 me not 4 thee', 'calories', 'i want to be a skeleton', 'disordered eating']",[]
"['ana', 'mia', 'not pro just for myself', 'anorexia', 'edblrr', 'eating disoder tw', 'ed', 'tw', 'thinspo']",[]
"['personalposts', 'eatingdisorder', 'anorexia', 'depression', 'ptsd', 'trauma', 'August2022', '2022', 'inpatient', 'psychward']",[]
